serieId;categoryId;serieName;description;cover;thumbnail;isPublished
5b81de1c-13a9-11ec-932a-87f66c622227;cate1;Sky on the garden;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
6109ae96-13a9-11ec-8e51-2f0f02c3fb9e;cate2;Knock Knock;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
64b4c260-13a9-11ec-a27f-1be8f9616ea4;cate3;Mistery Box;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
677a758a-13a9-11ec-8258-9ba301fcc9b0;cate4;One piece;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
6a2aa6d8-13a9-11ec-b1af-333af08ab1c1;cate5;Naruto;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
6cd6126e-13a9-11ec-96e1-d7dbfdc2d0f5;cate6;Bleach;Light Wealthy Awkward Spite Ice Angelic Pleasant Entry Only Bright Far-off Decisive Argument Formal Shock Acrobatic Thing Primary Previous Building Illustrious Reach Interest Park Efficiency Optimistic Boss Present Opportunity Cabinet Beat Lead Velvety Nonstop Forthright High Enraged Flawed Voice Double ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;true
9f1f5f20-13e3-11ec-88cf-3865926fad55;cate4;Lenova season 1;Flustered Chart Bank Top Volume Possible Granular Grumpy Alarming Ideal Male Flower Regret Dimension Jumpy Ordinary Level Sock Jubilant Ornery Favorable Tremendous Clothes Genuine Produce Dimwitted Maintenance Pointed Secretary Cultured Milk Plane Husky Plastic ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/7a688421-b94a-48ad-9431-ae618a13cd40-AriumWeb20x9.002.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;false
eb9d5270-13e4-11ec-8cca-796dbae5a572;cate5;The dark season 15;Flustered Chart Bank Top Volume Possible Granular Grumpy Alarming Ideal Male Flower Regret Dimension Jumpy Ordinary Level Sock Jubilant Ornery Favorable Tremendous Clothes Genuine Produce Dimwitted Maintenance Pointed Secretary Cultured Milk Plane Husky Plastic ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/7a688421-b94a-48ad-9431-ae618a13cd40-AriumWeb20x9.002.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/346fa06b-c795-405d-b12c-63b8c21860d7-AriumWeb1x1.028.png;false
eb9d5270-13e4-11ec-8c92-040ebc997500;cate2;Pocker season 16;Flustered Chart Bank Top Volume Possible Granular Grumpy Alarming Ideal Male Flower Regret Dimension Jumpy Ordinary Level Sock Jubilant Ornery Favorable Tremendous Clothes Genuine Produce Dimwitted Maintenance Pointed Secretary Cultured Milk Plane Husky Plastic ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/7a688421-b94a-48ad-9431-ae618a13cd40-AriumWeb20x9.002.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/45ed8c91-c904-4c35-b57e-1e15a4dfa883-AriumWeb1x1.003.png;false
eb9d5270-13e4-11ec-824f-135ded51b96c;cate3;Darknight season 0;Flustered Chart Bank Top Volume Possible Granular Grumpy Alarming Ideal Male Flower Regret Dimension Jumpy Ordinary Level Sock Jubilant Ornery Favorable Tremendous Clothes Genuine Produce Dimwitted Maintenance Pointed Secretary Cultured Milk Plane Husky Plastic ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/45ed8c91-c904-4c35-b57e-1e15a4dfa883-AriumWeb1x1.003.png;false
eb9d5270-13e4-11ec-8ab7-f22fa35b131d;cate4;Mister Babadine season 3;Flustered Chart Bank Top Volume Possible Granular Grumpy Alarming Ideal Male Flower Regret Dimension Jumpy Ordinary Level Sock Jubilant Ornery Favorable Tremendous Clothes Genuine Produce Dimwitted Maintenance Pointed Secretary Cultured Milk Plane Husky Plastic ;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f0c37c95-af79-42d4-bd96-5888181031e8-AriumWeb20x9.004.png;https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png;false
